carcass mass,focal beetle body size,medium beetle body size,body size,mite treatment,difference in body size,relative difference in body size,contest outcome
9.63,4.19,4.56,S,without mites,0.37,-0.088305489,0
9.68,4.28,4.62,S,without mites,0.34,-0.079439252,1
9.13,4.3,4.56,S,without mites,0.26,-0.060465116,0
8.23,4.16,4.57,S,without mites,0.41,-0.098557692,0
11.8,4.37,4.73,S,without mites,0.36,-0.082379863,0
9.24,4.28,4.72,S,without mites,0.44,-0.102803738,0
13.2,4.41,4.82,S,without mites,0.41,-0.092970522,0
8.26,4.41,4.76,S,without mites,0.35,-0.079365079,0
8.59,4.44,4.77,S,without mites,0.33,-0.074324324,0
10.7,4.12,4.52,S,without mites,0.4,-0.097087379,0
8.33,4.12,4.5,S,without mites,0.38,-0.09223301,0
13.42,4.14,4.51,S,without mites,0.37,-0.089371981,0
8.35,4.17,4.53,S,without mites,0.36,-0.086330935,0
8.74,4.28,4.79,S,without mites,0.51,-0.119158879,1
13.78,4.38,4.76,S,without mites,0.38,-0.086757991,0
13.91,4.33,4.7,S,without mites,0.37,-0.085450346,1
10.68,4.35,4.72,S,without mites,0.37,-0.085057471,0
9.32,4.33,4.73,S,without mites,0.4,-0.092378753,0
9.86,4.45,4.76,S,with mites,0.31,-0.069662921,0
13.1,4.43,4.78,S,with mites,0.35,-0.079006772,0
10.87,4.45,4.79,S,with mites,0.34,-0.076404494,1
14.57,4.45,4.82,S,with mites,0.37,-0.083146067,0
10.3,4.14,4.51,S,with mites,0.37,-0.089371981,0
9.48,4.17,4.51,S,with mites,0.34,-0.081534772,1
14.44,4.11,4.54,S,with mites,0.43,-0.104622871,1
9.25,4.16,4.53,S,with mites,0.37,-0.088942308,0
10.55,4.35,4.63,S,with mites,0.28,-0.064367816,1
10.53,4.35,4.68,S,with mites,0.33,-0.075862069,0
13.26,4.37,4.74,S,with mites,0.37,-0.084668192,1
10.73,4.38,4.65,S,with mites,0.27,-0.061643836,1
9.67,4.32,4.68,S,with mites,0.36,-0.083333333,0
9.97,4.4,4.75,S,with mites,0.35,-0.079545455,1
9.46,4.3,4.6,S,with mites,0.3,-0.069767442,0
13.23,4.12,4.51,S,with mites,0.39,-0.094660194,1
8.93,4.12,4.54,S,with mites,0.42,-0.101941748,0
10.57,4.01,4.51,S,with mites,0.5,-0.124688279,1
8.07,4.23,4.58,S,with mites,0.35,-0.082742317,0
8.48,4.42,4.81,S,without mites,0.39,-0.088235294,0
14.37,4.33,4.67,S,with mites,0.34,-0.07852194,1
10.14,4.35,4.76,S,without mites,0.41,-0.094252874,0
8.26,5.3,4.63,L,without mites,0.67,0.126415094,1
9.9,5.44,4.67,L,without mites,0.77,0.141544118,1
9.87,5.32,4.78,L,without mites,0.54,0.101503759,1
14.16,5.29,4.75,L,without mites,0.54,0.102079395,0
9.85,5.34,4.76,L,without mites,0.58,0.108614232,1
13.52,5.17,4.6,L,without mites,0.45,0.110251451,1
13.2,5.05,4.69,L,without mites,0.31,0.071287129,0
9.07,5,4.69,L,without mites,0.44,0.062,1
9.17,5.13,4.57,L,without mites,0.59,0.109161793,1
9.51,5.16,4.61,L,without mites,0.32,0.106589147,1
9.03,4.93,4.55,L,without mites,0.46,0.077079108,0
8.07,4.91,4.64,L,without mites,0.62,0.054989817,1
9.99,4.97,4.65,L,without mites,0.35,0.064386318,1
10.6,5,4.5,L,without mites,0.54,0.1,1
9.69,5.04,4.52,L,without mites,0.52,0.103174603,1
8.39,5.06,4.59,L,without mites,0.47,0.092885375,1
9.19,5.08,4.66,L,without mites,0.42,0.082677165,1
10.35,4.93,4.62,L,without mites,0.31,0.062880325,1
10.35,5.21,4.72,L,with mites,0.49,0.094049904,1
14.67,5.22,4.73,L,with mites,0.49,0.093869732,1
8.97,5.28,4.84,L,with mites,0.44,0.083333333,1
13.31,5.18,4.75,L,with mites,0.43,0.083011583,1
8.33,5.35,4.81,L,with mites,0.54,0.100934579,1
9.4,5.34,4.83,L,with mites,0.51,0.095505618,1
13.91,5.45,4.85,L,with mites,0.6,0.110091743,1
8.08,5.36,4.74,L,with mites,0.62,0.115671642,0
13.51,4.98,4.66,L,with mites,0.32,0.064257028,1
8.88,4.99,4.63,L,with mites,0.36,0.072144289,1
10.11,4.96,4.6,L,with mites,0.36,0.072580645,1
8.97,4.97,4.71,L,with mites,0.26,0.052313883,1
10.77,5.1,4.8,L,with mites,0.3,0.058823529,1
8.56,5.01,4.73,L,with mites,0.28,0.055888224,1
8.95,5.03,4.75,L,with mites,0.28,0.055666004,1
10.39,5.08,4.72,L,with mites,0.36,0.070866142,0
13.56,4.95,4.65,L,with mites,0.3,0.060606061,1
9.91,5.31,4.61,L,with mites,0.7,0.131826742,0
9.43,5.26,4.63,L,with mites,0.63,0.119771863,0